provider_id,provider_name,lat,lng,radius_km,city,country_code
25984,Shanhayskiy kit/Шанхайський Кіт Левка Лук'яненка,50.512178,30.492153,3.0,Kyiv,ua
51872,Вічнозелені Софіївська Борщагівка,50.42469,30.36629,9.0,Kyiv,ua
52314,Панда їсть бамбук Іллєнка,50.466273,30.47425,9.0,Kyiv,ua
115046,Жуїстика Сільпо на Березневій,50.429716,30.61928,3.0,Kyiv,ua
173695,Золотий чебурек Академіка Янгеля,50.447262,30.453185,4.0,Kyiv,ua
89598,WeSushi вул. Шевченка,50.518657,30.241142,3.0,Irpin,ua
193331,Enjoy Doner,50.409184,30.65918,3.0,Kyiv,ua
86597,Pasta&Pizza Самійла Кішки,50.384334,30.458094,3.0,Kyiv,ua
132243,CHINA HI & THAI HI,50.442446,30.544366,3.0,Kyiv,ua
145471,DALI BUDE/ДАЛІ БУДЕ,48.91976,24.70903,3.0,Ivano-Frankivsk,ua
155210,Remeslo Brewery Стадіонний проїзд,49.959905,36.324167,3.0,Kharkiv,ua
177069,Greek House ТЦ GLOBUS,50.45123,30.522154,3.0,Kyiv,ua
21516,Chick'n'Rice Васильківська,50.39381,30.49071,3.0,Kyiv,ua
31113,Lviv Croissants Дружби Народів,50.418604,30.544264,3.0,Kyiv,ua
31581,Chick'n'Rice Вернадського,50.462562,30.374459,3.0,Kyiv,ua
40662,DÖNER МАРКЕТ Оболонський,50.512969,30.497274,3.0,Kyiv,ua
52313,Панда їсть бамбук Ревуцького,50.4118,30.64565,9.0,Kyiv,ua
91947,Bufet пр-т Незалежності,50.00711,36.22582,3.0,Kharkiv,ua
128521,ШАВУХА ТОПчик \ SHAVUXA TOP вул. Макіївська,50.50872,30.453187,3.0,Kyiv,ua
154174,Don Peperon Родини Крістерів,50.501638,30.421639,4.0,Kyiv,ua
162772,Cucina della Mamma бул. Вацлава Гавела,50.44343,30.4187,3.0,Kyiv,ua
173034,Salateira вул. Лугова,50.50537,30.47083,3.0,Kyiv,ua
121210,SUGAR&SALT,49.951379,36.376201,3.0,Kharkiv,ua
121500,Roll Club Біла Церква,49.772669,30.124485,3.0,Bila Tserkva,ua
177107,Greek House ТРЦ Lavina Mall,50.49623,30.35787,3.0,Kyiv,ua
188443,We Sushi Соборності,50.76488,25.367422,3.0,Lutsk,ua
102042,Chick'n'Rice Ірпінь,50.518843,30.212859,3.0,Irpin,ua
109558,Pizza Day 084 вул. Незалежності України,47.948518,33.45583,3.0,Kryvyi Rih,ua
109635,"Pizza Day 140 м-н 5-й Зарічний, 60Г",47.998126,33.490599,3.0,Kryvyi Rih,ua
117806,Sushi Master вул. Київська,49.090874,33.427428,3.0,Kremenchuk,ua
150428,Royal Kebab Замарстинівська,49.861316,24.027207,3.0,Lviv,ua
48932,DÖNER МАРКЕТ Дружби народів 16а,50.41432,30.53859,3.0,Kyiv,ua
80470,"Pesto Cafe Бандери, 34В",50.48627,30.51944,3.0,Kyiv,ua
98373,This is Pivbar вул. Левка Лук’яненка,50.51174,30.5026,3.0,Kyiv,ua
21399,Супчик Салатик Вацлава Гавела,50.44367,30.419,3.0,Kyiv,ua
48544,Sushi Master Гагаріна,48.449689,35.059881,3.0,Dnipro,ua
70994,Sushi Family Кам’янська,48.460776,34.968486,3.0,Dnipro,ua
75019,Lviv Croissants Андрія Малишка,50.45742,30.61326,3.0,Kyiv,ua
122550,Lviv Croissants,48.4417,22.71809,3.0,Mukachevo,ua
142897,Кафе Національ Ревуцького,50.411803,30.644934,3.0,Kyiv,ua
194311,Crazy Land вул. Зінківська,49.602068,34.532584,3.0,Poltava,ua
55696,ДжонДжолі площа Ринок,49.842536,24.031236,3.0,Lviv,ua
136238,L&K Sushi,49.9627,36.09488,3.0,Kharkiv,ua
154297,EatSushi Преображенська,46.478814,30.7315,3.0,Odesa,ua
173935,Сніданок мріЇ Велика Васильківська,50.422891,30.5189,4.0,Kyiv,ua
44378,Varcafe (ex. Varburger),48.46395,35.0462,7.0,Dnipro,ua
71802,"Шаурма на районі Пирогова, 78",49.22294,28.442576,3.0,Vinnytsia,ua
93116,Nunu вул. Ярославів Вал,50.4526,30.50893,3.0,Kyiv,ua
103977,WeSushi вул. Небесної Сотні,48.261536,25.941193,3.0,Chernivtsi,ua
154189,EatSushi Салютна,50.47169,30.39999,3.0,Kyiv,ua
155125,"Той самий бургер проспект Космонавтів, 77",49.220666,28.420709,3.0,Vinnytsia,ua
156040,По Кухлю,50.511866,30.492443,3.0,Kyiv,ua
50942,Streets Чоколівський б-р,50.432211,30.454389,9.0,Kyiv,ua
78124,Млинці. Mon Ami Bakery,50.432667,30.540527,3.0,Kyiv,ua
82752,Nunu Шота Руставелі,50.439,30.52085,3.0,Kyiv,ua
162718,Cucina della Mamma просп. Броварський,50.456772,30.614039,3.0,Kyiv,ua
188449,We Sushi Старокостянтинівське шосе,49.4515,27.01317,3.0,Khmelnytskyi,ua
21411,Супчик Салатик Федорова,50.4271,30.5089,3.0,Kyiv,ua
115038,Жуїстика Сільпо на Калнишевського,50.52016,30.46567,3.0,Kyiv,ua
185766,Shawarma Factory пр-т. Тараса Шевченка,48.51571,34.593766,3.0,Kamianske,ua
75090,Lviv Croissants Садова,49.82301,23.98119,3.0,Lviv,ua
164807,Євразія Експрес,50.417452,30.394092,3.0,Kyiv,ua
24962,Барбекю меню від ASAP Макіївська,50.50892,30.45342,3.0,Kyiv,ua
48384,Sushi Master Бойчука,50.418106,30.549973,3.0,Kyiv,ua
51913,Вічнозелені Просп. Червоної Калини,50.508583,30.607073,9.0,Kyiv,ua
68263,Pizza Bella Napoli Тракторобудівників,49.99554,36.33967,3.0,Kharkiv,ua
167788,Ресто by М'ясомаркет вул. Троїцька,50.916813,34.814821,3.0,Sumy,ua
48513,Sushi Master пр-т Гагаріна,50.445216,30.626196,3.0,Kyiv,ua
